customer_id,customer_name,segment,lifetime_orders,lifetime_value,lifetime_profit,lifetime_units,avg_discount,first_order,last_order,distinct_products,avg_order_value,profit_margin,tenure_days,recency_days,is_repeat,is_high_value,r_score,f_score,m_score,rfm_score,rfm_segment
RA-19915,Russell Applegate,Consumer,9,4793.543,304.8673,75,0.27954545454545454,2015-06-30,2018-12-18,22,532.6158888888889,6.359957551230896,1267,13,True,True,5,5,5,15,Champion
SA-20830,Sue Ann Reed,Consumer,10,4767.3415,610.1496000000001,75,0.19285714285714284,2015-02-22,2018-10-28,21,476.73415000000006,12.798529327089323,1344,64,True,True,3,5,5,13,Champion
JK-15640,Jim Kriz,Home Office,9,4760.434,1172.5303,41,0.10000000000000002,2015-09-19,2018-07-03,12,528.9371111111111,24.630743751515087,1018,181,True,True,2,5,5,12,Loyal
BW-11110,Bart Watters,Corporate,8,4750.358,921.2574,74,0.1411764705882353,2016-03-20,2018-08-31,17,593.79475,19.39343097930724,894,122,True,True,2,4,5,11,Loyal
TB-21520,Tracy Blumstein,Consumer,9,4737.486,-1603.0451,85,0.265,2015-10-17,2018-09-14,20,526.3873333333333,-33.83746358300584,1063,108,True,True,2,5,5,12,Loyal
GB-14575,Giulietta Baptist,Consumer,5,4716.288,1135.8393,63,0.037500000000000006,2016-06-12,2018-12-17,16,943.2575999999999,24.083332061146397,918,14,True,True,5,2,5,12,Loyal
RB-19465,Rick Bensley,Home Office,12,4715.466,640.5466,85,0.13478260869565217,2015-03-14,2018-12-21,22,392.95550000000003,13.583951193795055,1378,10,True,True,5,5,5,15,Champion
LB-16795,Laurel Beltran,Home Office,8,4704.304,-40.13219999999996,74,0.23478260869565215,2015-04-23,2018-07-31,23,588.038,-0.853095378189844,1195,153,True,True,2,4,5,11,Loyal
ES-14080,Erin Smith,Corporate,9,4657.924,246.6661,77,0.26,2015-10-02,2018-12-02,20,517.5471111111111,5.295623114503371,1157,29,True,True,4,5,5,14,Champion
DB-13270,Deborah Brumfield,Home Office,8,4655.897,841.8263999999999,52,0.2076923076923077,2015-02-04,2018-11-07,13,581.987125,18.08086390227275,1372,54,True,True,4,4,5,13,Champion
KT-16480,Kean Thornton,Consumer,10,4642.088400000001,194.0671,37,0.14769230769230768,2015-03-10,2018-09-21,13,464.20884000000007,4.180598973513732,1291,101,True,True,3,5,5,13,Champion
SC-20050,Sample Company A,Home Office,9,4624.572,1011.7443,61,0.18666666666666668,2015-03-18,2018-11-20,15,513.8413333333333,21.877576995233287,1343,41,True,True,4,5,5,14,Champion
EM-14140,Eugene Moren,Home Office,6,4588.436000000001,1319.3655,74,0.06666666666666668,2015-07-19,2018-11-12,21,764.7393333333334,28.754144113593387,1212,49,True,True,4,3,5,12,Loyal
DB-13060,Dave Brooks,Consumer,7,4531.646,473.0272,48,0.1846153846153846,2015-03-01,2018-12-14,13,647.3779999999999,10.438308729322635,1384,17,True,True,5,3,5,13,Champion
AR-10825,Anthony Rawles,Corporate,8,4523.336,494.83519999999993,54,0.07692307692307693,2015-06-30,2018-11-02,13,565.417,10.939607404800348,1221,59,True,True,3,4,5,12,Loyal
